Comment_ID,Comment_Text,Star_Count
1,Öncelikle kitabı çok beğendim. Çok işime yarayacak kitaplığımda durması çünkü bir dersi eğer unutursam tekrardan İnternet üzerinden dinlemek zorluk olacaktı ama şu an o ders bir tık uzağımda kitaplığımda. İçinden aktivasyon kodu çıktı ve videolar da bilgilendirici. Fiyatı da uygun yani tavsiye ederim.Kullanıcı bu ürünü Unikod satıcısından aldı.,5
2,Gayet iyi. Sayfalar siyah beyaz ama benim için fark etmiyor. Öğrenmek için idealKullanıcı bu ürünü hesapkitap satıcısından aldı.,5
3,36 saatte elime geçen bu kitap kaliteli ve Python öğrenmek için güzel. İlgilenenlere tavsiye ediyorum.Kullanıcı bu ürünü Unikod satıcısından aldı.,5
4,Atıl Hoca yazdıysa birşey demeye gerek yok Perfect…Kullanıcı bu ürünü Unikod satıcısından aldı.,5
5,"akıcı anlatım, görseller ile destekli, bilale anlatır gibi :))Kullanıcı bu ürünü Unikod satıcısından aldı.",5
6,Ürün gayet güzel içinden gereken kodda çıkıyor benim beklentilerimi karşıladıKullanıcı bu ürünü Unikod satıcısından aldı.,5
7,Bitirmedim ama ayrıntılı anlatımı varKullanıcı bu ürünü Unikod satıcısından aldı.,5
8,"Kitapda, hizmetde super.tesekkurlerKullanıcı bu ürünü hesapkitap satıcısından aldı.",5
9,Ürün hızlı geldi beğendim kaliteli kitapKullanıcı bu ürünü hesapkitap satıcısından aldı.,4
10,TeşekkürlerKullanıcı bu ürünü hesapkitap satıcısından aldı.,5
